Year,Team,Wins,Playoffs
2016,Chicago Cubs,103,1
2015,St. Louis Cardinals,100,1
2015,Pittsburgh Pirates,98,1
2014,Los Angeles Angels,98,1
2012,Washington Nationals,98,1
2015,Chicago Cubs,97,1
2013,St. Louis Cardinals,97,1
2013,Boston Red Sox,97,1
2012,Cincinnati Reds,97,1
2014,Washington Nationals,96,1
2014,Baltimore Orioles,96,1
2013,Atlanta Braves,96,1
2013,Oakland Athletics,96,1
2016,Texas Rangers,95,1
2016,Washington Nationals,95,1
2015,Kansas City Royals,95,1
2012,New York Yankees,95,1
2016,Cleveland Indians,94,1
2014,Los Angeles Dodgers,94,1
2013,Pittsburgh Pirates,94,1
2012,Oakland Athletics,94,1
2012,San Francisco Giants,94,1
2012,Atlanta Braves,94,1
2016,Boston Red Sox,93,1
2015,Toronto Blue Jays,93,1
2013,Detroit Tigers,93,1
2012,Texas Rangers,93,1
2012,Baltimore Orioles,93,1
2015,Los Angeles Dodgers,92,1
2013,Los Angeles Dodgers,92,1
2013,Cleveland Indians,92,1
2013,Tampa Bay Rays,92,1
2016,Los Angeles Dodgers,91,1
2013,Texas Rangers,91,0
2015,New York Mets,90,1
2014,Detroit Tigers,90,1
2014,St. Louis Cardinals,90,1
2013,Cincinnati Reds,90,1
2012,Tampa Bay Rays,90,0
2016,Baltimore Orioles,89,1
2016,Toronto Blue Jays,89,1
2014,Kansas City Royals,89,1
2012,Los Angeles Angels,89,0
2015,Texas Rangers,88,1
2014,Pittsburgh Pirates,88,1
2014,San Francisco Giants,88,1
2014,Oakland Athletics,88,1
2012,Detroit Tigers,88,1
2012,St. Louis Cardinals,88,1
2016,New York Mets,87,1
2016,San Francisco Giants,87,1
2015,New York Yankees,87,1
2014,Seattle Mariners,87,0
2015,Houston Astros,86,1
2016,Detroit Tigers,86,0
2016,St. Louis Cardinals,86,0
2016,Seattle Mariners,86,0
2013,Washington Nationals,86,0
2013,Kansas City Royals,86,0
2012,Los Angeles Dodgers,86,0
2015,Los Angeles Angels,85,0
2014,Cleveland Indians,85,0
2013,New York Yankees,85,0
2013,Baltimore Orioles,85,0
2012,Chicago White Sox,85,0
2016,New York Yankees,84,0
2016,Houston Astros,84,0
2015,San Francisco Giants,84,0
2014,New York Yankees,84,0
2015,Washington Nationals,83,0
2015,Minnesota Twins,83,0
2014,Toronto Blue Jays,83,0
2012,Milwaukee Brewers,83,0
2014,Milwaukee Brewers,82,0
2016,Kansas City Royals,81,0
2015,Cleveland Indians,81,0
2015,Baltimore Orioles,81,0
2013,Arizona Diamondbacks,81,0
2012,Philadelphia Phillies,81,0
2012,Arizona Diamondbacks,81,0
2015,Tampa Bay Rays,80,0
2016,Miami Marlins,79,0
2015,Arizona Diamondbacks,79,0
2014,New York Mets,79,0
2014,Atlanta Braves,79,0
2012,Pittsburgh Pirates,79,0
2016,Pittsburgh Pirates,78,0
2016,Chicago White Sox,78,0
2015,Boston Red Sox,78,0
2013,Los Angeles Angels,78,0
2014,San Diego Padres,77,0
2014,Miami Marlins,77,0
2014,Tampa Bay Rays,77,0
2015,Chicago White Sox,76,0
2015,Seattle Mariners,76,0
2014,Cincinnati Reds,76,0
2013,San Francisco Giants,76,0
2013,San Diego Padres,76,0
2012,San Diego Padres,76,0
2016,Colorado Rockies,75,0
2012,Seattle Mariners,75,0
2016,Los Angeles Angels,74,0
2015,Detroit Tigers,74,0
2015,San Diego Padres,74,0
2013,Colorado Rockies,74,0
2013,Milwaukee Brewers,74,0
2013,Toronto Blue Jays,74,0
2013,New York Mets,74,0
2012,New York Mets,74,0
2016,Milwaukee Brewers,73,0
2014,Chicago White Sox,73,0
2014,Philadelphia Phillies,73,0
2014,Chicago Cubs,73,0
2013,Philadelphia Phillies,73,0
2012,Toronto Blue Jays,73,0
2012,Kansas City Royals,72,0
2016,Philadelphia Phillies,71,0
2015,Miami Marlins,71,0
2014,Boston Red Sox,71,0
2013,Seattle Mariners,71,0
2014,Houston Astros,70,0
2014,Minnesota Twins,70,0
2016,Arizona Diamondbacks,69,0
2016,Oakland Athletics,69,0
2012,Boston Red Sox,69,0
2012,Miami Marlins,69,0
2016,Atlanta Braves,68,0
2016,Tampa Bay Rays,68,0
2016,San Diego Padres,68,0
2016,Cincinnati Reds,68,0
2015,Colorado Rockies,68,0
2015,Milwaukee Brewers,68,0
2015,Oakland Athletics,68,0
2012,Cleveland Indians,68,0
2015,Atlanta Braves,67,0
2014,Texas Rangers,67,0
2014,Colorado Rockies,66,0
2013,Minnesota Twins,66,0
2013,Chicago Cubs,66,0
2012,Minnesota Twins,66,0
2015,Cincinnati Reds,64,0
2014,Arizona Diamondbacks,64,0
2012,Colorado Rockies,64,0
2015,Philadelphia Phillies,63,0
2013,Chicago White Sox,63,0
2013,Miami Marlins,62,0
2012,Chicago Cubs,61,0
2016,Minnesota Twins,59,0
2012,Houston Astros,55,0
2013,Houston Astros,51,0
